,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
52,얌샘김밥 부산범일점,4.3,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201127_142%2F16064400859440K0Su_JPEG%2Fimage.jpg,391,9,8.61
53,유가네닭갈비 범일역점,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200227_168%2F1582781176918XiVPI_PNG%2FSXlCZCIAbbp8qXO531FhjnsI.png,218,16,8.7
54,대수정,4.39,,448,54,8.77
55,77돼지숯불갈비,4.82,,28,7,8.92
56,장어나라숯불구이,4.4,,118,9,8.5
57,다께,4.36,,48,17,8.46
58,올리고떡볶이,4.34,,245,9,8.58
59,단골집,4.43,,55,2,8.53
60,고봉민김밥인 부산범일점,4.29,,247,5,8.53
61,원조자연산장어구이,4.48,,182,12,8.58
62,이화참치,4.36,,33,23,8.46
63,국제통닭 범일점,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200226_75%2F1582700257195HayDh_JPEG%2FLbLf1f5Xxfiyh2enthRl28kn.jpg,102,26,8.47
64,텐퍼센트커피 범일점,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181026_62%2F1540521748992tlrPg_JPEG%2F8Q54AAjGcLhojFf6KO4CMCfJ.jpg,744,14,9.07
65,불막열삼 범일조방점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211013_26%2F16340899727888gj59_PNG%2F_eWJ9f5qTQVp1L4rBCfbxXFH.png,24,8,
66,착한동태,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190327_157%2F1553687502644u20rX_JPEG%2FezhwxvM8o2bzJx54K4eYZbwJ.jpeg.jpg,95,5,8.43
67,교동짬뽕,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190731_117%2F1564561218111OnOF7_JPEG%2FFOoWfKKLvs8ku2QWCN5fcXB0.jpg,240,16,8.65
68,배스킨라빈스 범일점,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190207_263%2F1549518073913VHxxg_JPEG%2FWzOVG98BAb-9oaMe84QYeDV3.jpg,978,21,9.12
69,정원바다횟집,3.91,,58,29,8.01
70,노가리앤비어 부산직영1호점,4.54,,129,8,8.64
71,푸짐한실비식당,4.17,,24,17,8.27
72,정직유부 부산범일점,4.46,,132,4,8.56
73,한진식당,,,1,15,
74,밥한그릇,4.32,,110,17,8.42
75,지니키친,4.4,,82,79,8.5
76,국수나무 부산시민회관이즈팰리스점,4.42,,330,25,8.73
77,언덕너머한우,4.49,,128,36,8.59
78,뚜레쥬르 부산범일점,4.38,,837,15,8.97
79,스타벅스 범일동일타워점,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201008_63%2F1602103506756G5STJ_JPEG%2F3973_20201006083816_3l1ln.jpg,1649,30,9.23
80,마스터스시,4.44,,270,30,8.68
81,아침엔김밥,4.5,,268,5,8.74
82,골목양곱창,4.52,,42,66,8.62
83,부평통닭,4.46,,169,34,8.56
84,노랑통닭 범일점,4.41,,149,5,8.51
85,와돈까스,4.54,,130,24,8.64
86,소문난칼국수,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200420_210%2F1587386165743Tgyyf_JPEG%2F7k6plgVUOdl7OQGIyRVtdCBV.jpg,12,40,8.48
87,화성곰탕,4.19,,88,37,8.29
88,서부중국관,4.29,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200629_171%2F1593411614682Sfuld_JPEG%2FQouqC95L9FbWyV7LptkAQnjZ.jpg,309,17,8.6
89,도너츠전문점맥스넛,,,8,105,
90,월전숯불장어구이,4.23,,167,19,8.33
91,파리바게뜨 부산범일점,4.36,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220413_15%2F1649840958053Xov8f_PNG%2Fimage.png,1061,3,8.95
92,할리스 동부산우체국점,4.56,,315,25,8.87
93,베러먼데이 범일점,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200504_184%2F1588603381055ef3zP_JPEG%2F5WpNzAz2qVIgwXL2XiRh4EY-.jpg,35,19,8.43
94,메밀면가,4.36,,292,42,8.6
95,카페리빗,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190402_258%2F1554185430546CGu8z_JPEG%2Fa5O5bN2WCjh0fv3DQH-mp1rr.jpg,118,53,8.52
96,목촌돼지국밥 범일점,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190127_240%2F15485863455965uuCc_JPEG%2FQ_kKWNs7ifYQb_l6DovE7ttJ.jpeg.jpg,241,22,8.62
97,소미돈까스 범일점,4.32,,202,79,8.56
98,외식촌 범일점,4.74,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210224_137%2F1614135811324Q4dj8_JPEG%2FrBXPFWtG3GHn1L0ztVxALJBV.jpg,92,31,8.84
99,에그드랍 부산범일동일타워점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220404_134%2F1649064320634oVtvP_PNG%2FED_%25BA%25EA%25B7%25A3%25B5%25E5%25BD%25E6%25B3%25D7%25C0%25CF.png,54,1,
100,본죽&비빔밥cafe 부산범일점,4.8,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210910_56%2F1631251439971CW3kr_JPEG%2FmPMnYh8C50MYwmr-jn0Hpq7n.jpg,169,3,8.9
101,끌로,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220612_181%2F1655016492893DxiCm_JPEG%2FC3EE3C2F-12DA-4D06-87DA-BEE3F2D78CC4.jpeg,8,2,
102,북경,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190717_111%2F1563316084922UxUwd_JPEG%2FPJfAKyVZ2daarpw4t4R0ea8I.jpg,181,12,8.6
103,맛깔참죽 부산범일점,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_148%2F14410710348591len5_JPEG%2FSUBMIT_1426572383989_36417349.jpg,662,6,9
104,비턴 범일점,4.36,,103,10,8.46
105,신대감집,4.32,,20,11,8.42
106,누리왕만두,4.35,,205,20,8.59
107,기장멸치국수,4.42,,497,66,8.8
108,우기네회,4.19,,37,10,8.29
109,대게천국,4.34,,62,96,8.44
110,거원반점,4.72,,47,13,8.82
111,키친요미,4.57,,268,16,8.81
112,루이팡,4.32,,222,11,8.56
113,카페051 동일타워점,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190829_188%2F15670055273300PSbx_JPEG%2FVOLdfoAhfXKC-omKE-3tYtKw.jpg,589,7,8.96
114,센텀가야밀면 범일점,4.21,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190711_177%2F1562850801944XCR1e_JPEG%2Fs-SFke6qJ7hVHlhJnyUCHQvE.jpg,75,19,8.31
115,금농,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210122_224%2F1611288694351WHH50_JPEG%2FmPSEoCanc8QHNOzCUMqvHbxf.jpg,57,3,8.52
116,블루샥 범일동일타워점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220317_79%2F1647494577314Yb60H_JPEG%2F20211109_164235.jpg,285,14,
117,더벤티 범일점,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200617_94%2F1592362308610bnDTF_JPEG%2FguxhSS81pQo8vNapEfQwT65_.jpg,184,4,8.54
118,골목추어탕,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180228_53%2F1519775020164BceO7_JPEG%2FMr4Rus2M0RHCun8sgjH9fJ_d.jpg,34,7,8.47
119,부산국밥,4.39,,751,28,8.98
120,밤이면밤마다,4.5,,21,7,8.6
121,어가해물촌,4.41,,79,10,8.51
122,본설렁탕 부산범일점,4.5,,55,2,8.6
123,조방원조충무김밥,4.45,,115,1,8.55
124,조선화로집 범일점,4.14,,213,54,8.38
125,고피자 부산범일점,,,77,9,
126,댄싱컵커피 범일점,,,46,13,
127,소이락,4.26,,139,6,8.36
128,동래통닭 범일점,4.45,,79,43,8.55
129,재벌밀면냉면,,,10,,
130,수제왕돈까스,4.38,,532,35,8.83
131,원조동두천부대찌개,4.49,,104,9,8.59
132,심청이보쌈홍어삼합,4.56,,85,15,8.66
133,김박사면옥갈비,4.33,,154,33,8.43
134,행복한대패삼겹 조방점,4.3,,335,19,8.61
135,우마이마루,4.35,,332,55,8.66
136,낙동강오리,4.79,,19,1,8.89
137,파리바게뜨 부산동일타워점,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220413_297%2F1649840754785Tl2yg_PNG%2Fimage.png,623,1,8.96
138,영커피 동일타워점,4.26,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220114_26%2F16421484325397SDlh_JPEG%2F%25B9%25FC%25C0%25CF%25C1%25A1.jpg,212,4,8.5
139,오찌피자 범일점,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210617_111%2F1623935475284VJfkS_JPEG%2F-ZeHOY06TNI3qY1ySktLndz4.jpg,79,2,8.51
140,공차 현대백화점 부산점,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200420_267%2F1587360983121KXDd7_JPEG%2FfotGlkovJ3UGT5Gkmzqd990T.jpg,449,12,8.87
141,백제삼계탕,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200509_277%2F1588960206354UMQaL_JPEG%2FaIYAVaMqWTIPp7lgNsltgS3h.jpg,111,22,8.44
142,파리바게뜨 부산범일조방점,4.48,,709,2,9
143,소삼대,4.59,,97,107,8.69
144,일상,4.27,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190912_80%2F1568281450636yDae7_JPEG%2FeYbWBY9XOivwLvZuSWAmtjm8.jpeg.jpg,12,7,8.37
145,이바돔양곱창,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190127_48%2F1548585153016NqFiq_JPEG%2FlcYfl-OnMgE-_E3Y7PM47MFy.jpeg.jpg,112,9,8.6
146,김명자굴국밥전문점 범일점,4.33,,191,30,8.43
147,오복쌈밥,4.68,,96,7,8.78
148,범일 양푼이 동태백반,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200604_266%2F1591270792498epxdo_JPEG%2FfpXlVwT2oghnl9tsEVpIAe9_.jpg,126,12,8.54
149,강가네손만두,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200331_197%2F1585660093928sdMIS_JPEG%2FYX_ekG9ngV4Cy91KiQ_XTINn.jpg,665,7,8.97
150,다다우동,4.48,,139,33,8.58
151,동막골 뒷고기,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171207_56%2F15126259770426Pch9_JPEG%2FBYSE-x2LjQ6myLYd1K9DeIWg.jpg,12,11,8.52
152,세윤커피,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210219_8%2F1613726085921wdcX2_JPEG%2FwxXNLu3zezkdUYQ0cyN5sWhB.jpg,241,10,8.66
153,초원통돼지김치찌개,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190127_255%2F1548585259467TkqM1_JPEG%2FSTe7HcMQFu_4d1yqKQ7TsYPq.jpeg.jpg,64,11,8.43
154,텐퍼센트커피 진시장점,,,11,1,
155,죽이야기 부산범일점,,,,,
156,조방뒷통구이,4.42,,45,3,8.52
157,한끼삼계탕 부산범일점,,,,,
158,메가커피 범일동점,4.44,,183,3,8.54
159,초원양곱창,4.5,,51,15,8.6
160,파스쿠찌 부산범일점,,,171,4,
161,와커피 범일동일타워점,,,198,8,
162,내쏙닭,4.82,,43,7,8.92
163,노마진포차,4.62,,100,27,8.72
164,온리비커피 범일점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220117_11%2F1642397754566Slmhu_JPEG%2FKakaoTalk_20220117_131151557.jpg,31,,
165,오징어와 활어회,,,33,4,
166,영영푸드,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210320_272%2F1616235831289cfCMs_JPEG%2FMx2cHumzVk27TWf6oUZ5QqYz.jpg,5,1,
167,마산아구찜,4.19,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200303_8%2F15832308919473LmX5_JPEG%2Fimage.jpg,40,3,8.29
168,홍헤원 단팥죽카페,4.59,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201217_185%2F1608183135837OBGoL_JPEG%2F99RpAFQoL3QbLFTZap6pG-Hq.jpg,23,6,8.69
169,범일동서울깍두기,4.24,,215,29,8.48
170,60계치킨 부산범일점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220418_94%2F1650247386937LXFp1_JPEG%2F%25C0%25CC%25BF%25B5%25C0%25DA_%25B9%25E8%25B9%25CE_BI_%25C0%25CC%25B9%25CC%25C1%25F6.jpg,32,3,
171,심심술집,,,6,1,
172,남촌멸치쌈밥,4.17,,16,23,8.27
173,하이오커피 자성공원로점,,,116,4,
174,둥지 도가니탕,4.41,,59,10,8.51
175,OK삼겹살 조방점,4.52,,232,9,8.76
176,기장멸치쌈밥,4.36,,106,3,8.46
177,고기왕,3.84,,18,16,7.94
178,가야밀면 범일점,,,8,8,
179,폴인커피,4.36,,223,15,8.6
180,700비어 범일점,4.37,,124,4,8.47
181,컴포즈커피 부산시민회관점,4.75,,82,3,8.85
182,풍미식당,4.35,,170,27,8.45
183,북경반점,4.27,,50,6,8.37
184,유명한복국집,,,10,2,
185,어랏커피 범일점,,,22,1,
186,코코호도 부산동일타워점,,,105,5,
187,낭만물고기,,,18,1,
188,오복돈범일동점,4.31,,41,1,8.41
189,통영숯불바다장어,4.26,,65,10,8.36
190,범일돼지갈비,4.47,,71,11,8.57
191,우기네,,,4,,
192,기장장어,4.37,,23,,
193,만복네,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191121_259%2F15743048941491J2xI_JPEG%2FuEVmzGhh8b4ozhA6KmZPYM8f.jpg,344,4,8.64
194,세남자키친,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190426_150%2F155626652978592yY7_JPEG%2Fdbt5ByCIpn6EMbo6-zf_rhVc.jpg,1,2,
195,하삼동커피 범일점,4.42,,806,23,9.01
196,우물집,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180625_289%2F1529885299634BLp9F_JPEG%2FZ72wERgut8Klr6rsliblUWsh.jpg,7,,
197,은이네식당,4.35,,95,2,8.45
198,덕&돈 범일점,,,,1,
199,우산커피 조방점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220110_104%2F1641800843312F3PmQ_JPEG%2F%25C1%25B6%25B9%25E6%25C1%25A1_%25BF%25DC%25BA%25CE2.jpg,28,,
200,마틸다102,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201029_215%2F1603981722469k7r9O_JPEG%2F4T8R-KPuccZL6pFqPIbDgOFP.jpg,1,,
201,수상한포차,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220524_211%2F1653392085763nJYB8_JPEG%2F20220506_212825.jpg,2,,
202,60년전통할매국밥,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzA4MjlfMjcy%2FMDAxNTAzOTY3OTQxMTAx.fUT0-nmKHhmzY4K_h0Rpvl949d-eACehBDSfnNUoozog.xCEkXwD3KTOGApUrbLY2bgGEXx3r1wC5XmOAhrxrpp0g.JPEG.kimsw-1013%2FKakaoTalk_20170824_124917174.jpg,1620,1516,9.23
203,호박노래텔주점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_206%2F1441037602018x5JWq_JPEG%2F96676616277553_1.jpg,,,
204,범일닭도리,3.29,,13,5,7.39
205,원토스트앤커피,4.32,,74,1,8.42
206,왕궁쟁반짜장,4.46,,101,5,8.56
207,멕시카나치킨 범일역점,,,,1,
208,자스민커피,,,24,1,
209,한마음식당,4.43,,25,3,8.53
210,스파지오 범일동점,4.38,,160,1,8.48
211,청도고을,4.16,,53,8,8.26
212,시골멸치국수,4.31,,116,5,8.41
213,이담,4.01,,93,1,8.11
214,쿠퍼,,,,,
215,대복집,4.47,,110,7,8.57
216,고구려짬뽕,,,56,,
217,미소삼겹&곱창전골,4.31,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190904_29%2F1567582567659cllbC_JPEG%2FIaUZWw7LkAbr8lRzdivDOPyn.jpg,21,3,8.41
218,빈센트,4.18,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170419_142%2F1492582259292LpUuw_JPEG%2F186369554076_0.jpg,25,7,8.28
219,윤가네멸치국수,,,3,1,
